source_id,source_class,owner,url_or_pattern,geography,frequency,access_method,phase,starter_status,notes
acs_state_profile_api,official,Census,https://api.census.gov/data/{year}/acs/acs1/profile,state,annual,API,core,not_yet_downloaded,Use profile vars in config/acs_profile_variables.csv.
acs_5y_api,official,Census,https://api.census.gov/data/{year}/acs/acs5/profile,tract/block group/county,annual 5-year,API,extension,not_downloaded,Use only after core state build is stable.
bps_state_annual,official,Census,https://www2.census.gov/econ/bps/State/st{year}a.txt,state,annual,direct file,core,seeded,2010-2024 raw files are already included.
bps_county_ytd,official,Census,https://www2.census.gov/econ/bps/County/co{yy}{mm}y.txt,county,monthly YTD,direct file,extension,partially_seeded,2024 December YTD county file is included as a shape/sample.
fhfa_hpi_master,official,FHFA,https://www.fhfa.gov/hpi/download/monthly/hpi_master.csv,state/MSA/division/U.S.,monthly + quarterly,direct file,core,seeded,Master file already included.
qcew_open_data_area_slices,official,BLS,https://data.bls.gov/cew/data/api/{year}/{quarter}/area/{area_code}.csv,state/county/MSA,quarterly,API-like CSV endpoint,core,not_downloaded,Scripts use area slices and filter agglvl and ownership codes.
urban_multicity_reforms,quasi_official,Urban Institute,https://datacatalog.urban.org/dataset/multi-city-panel-rent-control-reforms,place,irregular,csv download,reference,not_downloaded,Use only for validation or exploratory coverage checks.
eviction_lab,public,Princeton Eviction Lab,https://evictionlab.org/eviction-tracking/,state/city,monthly,download / web,extension,not_downloaded,Current public monthly tracking file does not include CA/OR/WA; not a good fit for the statewide OR/CA build.
nyc_rent_stabilized_buildings,official,NYC Rent Guidelines Board,https://rentguidelinesboard.cityofnewyork.us/resources/rent-stabilized-building-lists/,building,annual,pdf/xls,extension,not_downloaded,"Building-level only, not apartment-level."
berkeley_rent_registry,official,Berkeley Rent Board,https://rentregistry.cityofberkeley.info/,unit / block anonymized,ongoing,web app / exports,extension,not_downloaded,Legacy local registry extension.
st_paul_rent_stabilization,official,City of Saint Paul,https://www.stpaul.gov/departments/safety-inspections/rent-buy-sell-property/rent-stabilization,city,ongoing,web / forms,extension,not_downloaded,Policy extension and local case study.
dc_rent_registry,official,DHCD DC,https://dhcd.dc.gov/am/node/1771516,city / property,ongoing,web app,extension,not_downloaded,Public RentRegistry aimed at analysts/researchers and tenants.
la_rso_dashboards,official,City of Los Angeles,https://housing.lacity.gov/,city / parcel / dashboard,ongoing,dashboard / csv,extension,not_downloaded,RSO inventory plus eviction notice and Ellis Act dashboards.
la_quality_dashboards,official,City of Los Angeles,https://housing.lacity.gov/residents/systematic-code-enforcement-program-scep,city / property / dashboard,ongoing,dashboard / csv,extension,not_downloaded,Tenant Habitability Program and code-enforcement quality channel.
oakland_rap_and_registry,official,City of Oakland,https://www.oaklandca.gov/Community/Housing-Programs-Support/Rent-Adjustment-Program-RAP,city / unit / case,ongoing,web app / dashboard,extension,not_downloaded,RAP case data plus public-facing rent registry and citywide eviction data.
sf_housing_inventory,official,City and County of San Francisco,https://www.sf.gov/data--housing-inventory,city / property,annual,open data,extension,not_downloaded,Owner-reported protected housing inventory; useful for stock-accounting questions.
sanjose_rent_registry,official,City of San Jose,https://www.sanjoseca.gov/your-government/departments-offices/housing/landlords-property-managers/rent-registry,city / unit / petition,ongoing,web app / forms,extension,not_downloaded,Official rent registry and petition ecosystem.
west_hollywood_rent_stabilization,official,City of West Hollywood,https://www.weho.org/city-government/rent-stabilization,city / unit / landlord portal,ongoing,portal / web,extension,not_downloaded,Official rent stabilization program with tenant habitability plan references.
santa_monica_mar_lookup,official,City of Santa Monica,https://www.smgov.net/departments/rentcontrol/mar.aspx,unit,ongoing,web lookup,extension,not_downloaded,Maximum Allowable Rent lookup useful for ceiling-vs-market work.
east_palo_alto_rent_stabilization,official,City of East Palo Alto,https://www.ci.east-palo-alto.ca.us/rent-stabilization/page/rent-stabilization-program,city / unit / petition,ongoing,portal / board materials,extension,not_downloaded,Promising local ordinance and board-materials extension.
mountain_view_rent_stabilization,official,City of Mountain View,https://www.mountainview.gov/our-city/current-topics-and-initiatives,city / unit / program,ongoing,web / board materials,extension,not_downloaded,Measure V / Rental Housing Committee extension with admin-data audit still needed.
