outcome,display_name,source,frequency,sample_start_year,sample_end_year,non_missing_rows,non_missing_states,treated_states_included,descriptive_state_excluded,treatment_timing_note,donor_pool_note,limitations
permits_units_total,Total permitted units,Census Building Permits Survey,annual,2010,2024,195,13,"CA, OR",WA,"OR: effective 2019-02-28, annual treat year 2019, quarterly treat period 2019Q2; CA: effective 2020-01-01, annual treat year 2020, quarterly treat period 2020Q1; WA: effective 2025-05-07, annual treat year 2025, quarterly treat period 2025Q3","Baseline donor pool: AZ, CO, FL, GA, ID, NC, NV, TN, TX, UT, VA",Washington is excluded from baseline causal estimates and retained for descriptive work only.
permits_units_5plus,5+ unit permitted units,Census Building Permits Survey,annual,2010,2024,195,13,"CA, OR",WA,"OR: effective 2019-02-28, annual treat year 2019, quarterly treat period 2019Q2; CA: effective 2020-01-01, annual treat year 2020, quarterly treat period 2020Q1; WA: effective 2025-05-07, annual treat year 2025, quarterly treat period 2025Q3","Baseline donor pool: AZ, CO, FL, GA, ID, NC, NV, TN, TX, UT, VA",Washington is excluded from baseline causal estimates and retained for descriptive work only.
permits_units_multifamily_share,Multifamily permit share,Census Building Permits Survey,annual,2010,2024,195,13,"CA, OR",WA,"OR: effective 2019-02-28, annual treat year 2019, quarterly treat period 2019Q2; CA: effective 2020-01-01, annual treat year 2020, quarterly treat period 2020Q1; WA: effective 2025-05-07, annual treat year 2025, quarterly treat period 2025Q3","Baseline donor pool: AZ, CO, FL, GA, ID, NC, NV, TN, TX, UT, VA",Washington is excluded from baseline causal estimates and retained for descriptive work only.
index_sa_mean,FHFA purchase-only HPI (SA mean),FHFA HPI,annual,2010,2025,208,13,"CA, OR",WA,"OR: effective 2019-02-28, annual treat year 2019, quarterly treat period 2019Q2; CA: effective 2020-01-01, annual treat year 2020, quarterly treat period 2020Q1; WA: effective 2025-05-07, annual treat year 2025, quarterly treat period 2025Q3","Baseline donor pool: AZ, CO, FL, GA, ID, NC, NV, TN, TX, UT, VA",Washington is excluded from baseline causal estimates and retained for descriptive work only.
qcew_total_covered_emplvl,QCEW total covered employment,QCEW,annual,2014,2024,143,13,"CA, OR",WA,"OR: effective 2019-02-28, annual treat year 2019, quarterly treat period 2019Q2; CA: effective 2020-01-01, annual treat year 2020, quarterly treat period 2020Q1; WA: effective 2025-05-07, annual treat year 2025, quarterly treat period 2025Q3","Baseline donor pool: AZ, CO, FL, GA, ID, NC, NV, TN, TX, UT, VA",QCEW area-slice coverage begins in 2014 for this workflow.
qcew_total_covered_avg_weekly_wage,QCEW average weekly wage,QCEW,annual,2014,2024,143,13,"CA, OR",WA,"OR: effective 2019-02-28, annual treat year 2019, quarterly treat period 2019Q2; CA: effective 2020-01-01, annual treat year 2020, quarterly treat period 2020Q1; WA: effective 2025-05-07, annual treat year 2025, quarterly treat period 2025Q3","Baseline donor pool: AZ, CO, FL, GA, ID, NC, NV, TN, TX, UT, VA",QCEW area-slice coverage begins in 2014 for this workflow.
same_house_1y_pct,Same house one year ago,ACS 1-year profile,annual,2010,2024,182,13,"CA, OR",WA,"OR: effective 2019-02-28, annual treat year 2019, quarterly treat period 2019Q2; CA: effective 2020-01-01, annual treat year 2020, quarterly treat period 2020Q1; WA: effective 2025-05-07, annual treat year 2025, quarterly treat period 2025Q3","Baseline donor pool: AZ, CO, FL, GA, ID, NC, NV, TN, TX, UT, VA",ACS coverage is limited to 2010-2019 and 2021-2024 in this workspace.
moved_last_year_pct,Moved last year,ACS 1-year profile,annual,2010,2024,182,13,"CA, OR",WA,"OR: effective 2019-02-28, annual treat year 2019, quarterly treat period 2019Q2; CA: effective 2020-01-01, annual treat year 2020, quarterly treat period 2020Q1; WA: effective 2025-05-07, annual treat year 2025, quarterly treat period 2025Q3","Baseline donor pool: AZ, CO, FL, GA, ID, NC, NV, TN, TX, UT, VA",ACS coverage is limited to 2010-2019 and 2021-2024 in this workspace.
moved_different_state_pct,Moved from different state,ACS 1-year profile,annual,2010,2024,182,13,"CA, OR",WA,"OR: effective 2019-02-28, annual treat year 2019, quarterly treat period 2019Q2; CA: effective 2020-01-01, annual treat year 2020, quarterly treat period 2020Q1; WA: effective 2025-05-07, annual treat year 2025, quarterly treat period 2025Q3","Baseline donor pool: AZ, CO, FL, GA, ID, NC, NV, TN, TX, UT, VA",ACS coverage is limited to 2010-2019 and 2021-2024 in this workspace.
renter_share_pct,Renter share,ACS 1-year profile,annual,2010,2024,182,13,"CA, OR",WA,"OR: effective 2019-02-28, annual treat year 2019, quarterly treat period 2019Q2; CA: effective 2020-01-01, annual treat year 2020, quarterly treat period 2020Q1; WA: effective 2025-05-07, annual treat year 2025, quarterly treat period 2025Q3","Baseline donor pool: AZ, CO, FL, GA, ID, NC, NV, TN, TX, UT, VA",ACS coverage is limited to 2010-2019 and 2021-2024 in this workspace.
DP04_0134E,Median gross rent,ACS 1-year profile,annual,2010,2024,182,13,"CA, OR",WA,"OR: effective 2019-02-28, annual treat year 2019, quarterly treat period 2019Q2; CA: effective 2020-01-01, annual treat year 2020, quarterly treat period 2020Q1; WA: effective 2025-05-07, annual treat year 2025, quarterly treat period 2025Q3","Baseline donor pool: AZ, CO, FL, GA, ID, NC, NV, TN, TX, UT, VA",ACS coverage is limited to 2010-2019 and 2021-2024 in this workspace.
rent_burden_30_plus_pct,Rent burden 30%+,ACS 1-year profile,annual,2010,2024,182,13,"CA, OR",WA,"OR: effective 2019-02-28, annual treat year 2019, quarterly treat period 2019Q2; CA: effective 2020-01-01, annual treat year 2020, quarterly treat period 2020Q1; WA: effective 2025-05-07, annual treat year 2025, quarterly treat period 2025Q3","Baseline donor pool: AZ, CO, FL, GA, ID, NC, NV, TN, TX, UT, VA",ACS coverage is limited to 2010-2019 and 2021-2024 in this workspace.
