question_id,question,status,primary_artifacts,notes
Q1,Did statewide rent caps reduce occupied-rent growth?,answered_with_limits,results/tables/event_study_DP04_0134E.txt; results/tables/pretrend_coefficients_DP04_0134E_baseline.csv; results/figures/baseline_median_gross_rent_annual.png,ACS occupied-rent coverage is limited to 2010-2019 and 2021-2024.
Q2,Did statewide rent caps reduce renter cost burden?,answered_with_limits,results/tables/event_study_rent_burden_30_plus_pct.txt; results/tables/pretrend_coefficients_rent_burden_30_plus_pct_baseline.csv,ACS burden coverage is limited to 2010-2019 and 2021-2024.
Q3,Did statewide rent caps increase residential stability?,answered_with_limits,results/tables/event_study_same_house_1y_pct.txt; results/tables/event_study_moved_last_year_pct.txt; results/tables/event_study_moved_different_state_pct.txt,Mobility outcomes use ACS 2010-2019 and 2021-2024 only.
Q4,Did statewide rent caps reduce housing supply or shift the composition of supply?,answered,results/tables/event_study_permits_units_total.txt; results/tables/event_study_permits_units_5plus.txt; results/tables/event_study_permits_units_multifamily_share.txt,Annual BPS outcomes are fully covered in the current pipeline.
Q5,Did statewide rent caps change housing price dynamics?,answered,results/tables/event_study_index_sa_mean.txt; results/tables/pretrend_coefficients_index_sa_mean_baseline.csv; results/figures/quarterly_fhfa_treated_vs_donor.png,FHFA remains the strongest secondary outcome family in the current build.
Q6,Did statewide rent caps change labor-market outcomes?,answered_with_limits,results/tables/event_study_qcew_total_covered_emplvl.txt; results/tables/event_study_qcew_total_covered_avg_weekly_wage.txt; results/figures/quarterly_qcew_treated_vs_donor.png,QCEW area-slice coverage begins in 2014 and should remain exploratory.
Q7,Were effects larger in states with higher baseline rent burden?,suggestive_treated_state_contrast,results/tables/prepolicy_state_profiles.csv; results/tables/state_specific_effect_summary.csv; results/free_data_extensions.md,"CA has higher baseline rent burden than OR. With only two treated states, heterogeneity is a treated-state contrast rather than a powered pooled interaction."
Q8,Were effects larger where supply was already constrained?,suggestive_treated_state_contrast,results/tables/prepolicy_state_profiles.csv; results/tables/state_specific_effect_summary.csv; results/free_data_extensions.md,"CA has lower permits per renter household than OR in 2015-2018, so the supply-constraint comparison is treated as a CA-versus-OR contrast."
Q9,Did impacts differ for rent levels versus burden versus mobility?,answered_with_cross_outcome_summary,results/tables/domain_comparison_summary.csv; results/credibility_interpretation.md; results/free_data_extensions.md,Cross-domain comparison uses pooled baseline coefficient summaries normalized to treated pre-policy means where possible.
Q10,Were California and Oregon similar enough to pool?,answered,results/tables/credibility_checks_summary.csv; results/tables/pretrend_coefficients_index_sa_mean_ca_only.csv; results/tables/pretrend_coefficients_index_sa_mean_or_only.csv; results/tables/pretrend_coefficients_index_sa_mean_state_interactions.csv,"CA-only, OR-only, and pooled state-interaction outputs are now part of the standard package."
