metric,value
street_queries,8.0
properties_sampled,150.0
unique_apn,150.0
properties_with_rent_registration,84.0
properties_without_rent_registration,66.0
properties_with_case_history,150.0
total_cases,2367.0
mean_total_units_registered,10.321
mean_total_units_unregistered,65.227
mean_year_built_registered,1930.918
mean_year_built_unregistered,1959.525
mean_cases_registered,12.31
mean_cases_unregistered,20.197
mean_complaints_registered,7.238
mean_complaints_unregistered,15.409
mean_scep_registered,4.012
mean_scep_unregistered,2.788
