borough,inspection_year,mean_treated,n_treated,total_treated,mean_control,n_control,total_control,diff,ratio
BRONX,2019,1.6731946144430845,6536,10936,1.1030360732042739,9453,10427,0.5701585412388106,1.5168992701956916
BRONX,2020,1.6770195838433293,6536,10961,0.5967417750978525,9453,5641,1.0802778087454767,2.8102935873198
BRONX,2021,3.7643818849449207,6536,24604,1.7389188617370146,9453,16438,2.025463023207906,2.1647829394320683
BRONX,2022,4.282282741738066,6536,27989,2.1794139426637047,9453,20602,2.1028687990743613,1.9648781068658352
BRONX,2023,5.612607099143207,6536,36684,2.390034909552523,9453,22593,3.222572189590684,2.3483368701899145
BRONX,2024,9.12561199510404,6536,59645,3.3706759758806726,9453,31863,5.754936019223367,2.7073536763556003
BRONX,2025,15.094553243574051,6536,98658,4.298846926901513,9453,40637,10.795706316672538,3.51130279822589
BROOKLYN,2019,1.4121545834607934,9807,13849,0.7772748928060982,25188,19578,0.6348796906546952,1.816802004709902
BROOKLYN,2020,1.3978790659732845,9807,13709,0.5241781800857551,25188,13203,0.8737008858875294,2.6668013264966364
BROOKLYN,2021,2.10461914958703,9807,20640,1.2210973479434652,25188,30757,0.8835218016435646,1.7235473921318107
BROOKLYN,2022,2.2394208218619354,9807,21962,1.5415674130538353,25188,38829,0.6978534088081001,1.4526908151396745
BROOKLYN,2023,2.7237687366167025,9807,26712,1.5346990630458948,25188,38656,1.1890696735708077,1.7747901215309785
BROOKLYN,2024,3.3623942082186193,9807,32975,1.634429093218993,25188,41168,1.7279651149996262,2.0572285589926786
BROOKLYN,2025,5.5884572244315285,9807,54806,2.171708750198507,25188,54701,3.4167484742330214,2.573299584449669
MANHATTAN,2019,1.2742992874109265,10525,13412,0.7142310146777281,7835,5596,0.5600682727331984,1.7841556320344192
MANHATTAN,2020,0.9949643705463183,10525,10472,0.47811104020421186,7835,3746,0.5168533303421063,2.0810319923199154
MANHATTAN,2021,1.8185273159144892,10525,19140,1.0898532227185704,7835,8539,0.7286740931959188,1.6685983745391761
MANHATTAN,2022,2.0919714964370546,10525,22018,1.1600510529674537,7835,9089,0.9319204434696009,1.8033443365149437
MANHATTAN,2023,2.5638954869358668,10525,26985,1.2649649010848756,7835,9911,1.2989305858509912,2.0268510887037148
MANHATTAN,2024,3.326935866983373,10525,35016,1.5292916400765795,7835,11982,1.7976442269067934,2.1754750891182377
MANHATTAN,2025,5.052351543942993,10525,53176,2.139885130823229,7835,16766,2.9124664131197635,2.3610386703324195
QUEENS,2019,0.9074170574952232,5757,5224,0.5099398982894129,12978,6618,0.3974771592058103,1.7794588353238148
QUEENS,2020,0.8348097967691506,5757,4806,0.2938819540761288,12978,3814,0.5409278426930217,2.8406296650419605
QUEENS,2021,1.5485495918012855,5757,8915,0.9738788719371244,12978,12639,0.5746707198641611,1.5900843897774415
QUEENS,2022,1.6326211568525273,5757,9399,1.4093080597934966,12978,18290,0.22331309705903069,1.1584558432822363
QUEENS,2023,2.276185513288171,5757,13104,1.2790876868546772,12978,16600,0.9970978264334938,1.7795382886418
QUEENS,2024,4.198367205141567,5757,24170,1.6663584527662199,12978,21626,2.532008752375347,2.519486247495018
QUEENS,2025,5.237102657634185,5757,30150,1.8700878409616273,12978,24270,3.3670148166725573,2.800458108396228
STATEN ISLAND,2019,1.1666666666666667,168,196,0.943728018757327,853,805,0.2229386479093397,1.2362318840579711
STATEN ISLAND,2020,0.9464285714285714,168,159,0.43259085580304807,853,369,0.5138377156255234,2.1878145567169955
STATEN ISLAND,2021,1.0357142857142858,168,174,1.1031652989449003,853,941,-0.06745101323061453,0.938856839228784
STATEN ISLAND,2022,2.107142857142857,168,354,1.7409144196951933,853,1485,0.36622843744766387,1.2103655603655605
STATEN ISLAND,2023,2.1011904761904763,168,353,1.8534583821805393,853,1581,0.247732094009937,1.1336593777295865
STATEN ISLAND,2024,4.190476190476191,168,704,3.1699882766705745,853,2704,1.0204879138056162,1.3219216680755144
STATEN ISLAND,2025,9.601190476190476,168,1613,5.554513481828839,853,4738,4.046676994361637,1.7285385133369515
