term,coef,std_err,t,p_value
Intercept,1.7424729547767848,0.430654511054388,4.046104034787935,5.207709599078676e-05
C(inspection_year)[T.2020],-0.24583725021173822,0.2964934660891471,-0.8291489639027053,0.4070201199938587
C(inspection_year)[T.2021],0.293426159473573,0.26174574045550636,1.1210350891018679,0.2622729266402529
C(inspection_year)[T.2022],0.5864520992917013,0.24671669879878666,2.377026371327993,0.01745284031705001
C(inspection_year)[T.2023],0.5762697666626344,0.23870422878908523,2.4141581805482635,0.015771613674886713
C(inspection_year)[T.2024],0.8283429975521485,0.20003163774609078,4.141059918749462,3.4570463026523545e-05
C(inspection_year)[T.2025],1.1361677571876698,0.21557363834981336,5.270439214575949,1.3609769271667918e-07
C(borough)[T.BROOKLYN],-1.2061795065730225,0.4122831976011732,-2.9256091773592816,0.0034378252315357288
C(borough)[T.MANHATTAN],-1.5008527586241043,0.5052267842138158,-2.970651607395644,0.002971686874299965
C(borough)[T.QUEENS],-1.511649345369467,0.3999050903992374,-3.780020263958985,0.00015681559552267583
C(borough)[T.STATEN ISLAND],-1.3585503553840632,0.3822584482731831,-3.5540100199778126,0.00037940475812573164
treated_rsbl,0.6998211704971167,0.30473403608934246,2.2964982168645642,0.021647410998445415
treated_rsbl:C(inspection_year)[T.2020],0.1437462666300603,0.4174565364814036,0.3443382821159006,0.7305918975846105
treated_rsbl:C(inspection_year)[T.2021],0.615438518381421,0.3629666669900962,1.6955786146561322,0.08996571056731043
treated_rsbl:C(inspection_year)[T.2022],0.5739375702175612,0.38346675736968466,1.4967074959883717,0.1344693849383796
treated_rsbl:C(inspection_year)[T.2023],1.2553590154684051,0.4823883050447384,2.602382774084829,0.009257845909778652
treated_rsbl:C(inspection_year)[T.2024],2.485304539700137,0.9936262396081097,2.5012468880455003,0.012375687064857092
treated_rsbl:C(inspection_year)[T.2025],4.791543086185824,1.8341996841584098,2.6123344843908525,0.00899262243578251
