borough,inspection_year,treated_rsbl,building_count,mean_violation_count,total_violation_count
BRONX,2019,0,17154,0.8256966305234931,14164
BRONX,2019,1,6552,1.6695665445665446,10939
BRONX,2020,0,17154,0.45295557887373206,7770
BRONX,2020,1,6552,1.6735347985347986,10965
BRONX,2021,0,17154,1.2336481287163343,21162
BRONX,2021,1,6552,3.757936507936508,24622
BRONX,2022,0,17154,1.6385099685204616,28107
BRONX,2022,1,6552,4.273504273504273,28000
BRONX,2023,0,17154,1.7239127900198203,29572
BRONX,2023,1,6552,5.602564102564102,36708
BRONX,2024,0,17154,2.4070187711320976,41290
BRONX,2024,1,6552,9.11935286935287,59750
BRONX,2025,0,17154,2.877229800629591,49356
BRONX,2025,1,6552,15.070360195360195,98741
BROOKLYN,2019,0,40146,0.6606884870223684,26524
BROOKLYN,2019,1,9854,1.409579866044246,13890
BROOKLYN,2020,0,40146,0.43678075026154534,17535
BROOKLYN,2020,1,9854,1.403389486502943,13829
BROOKLYN,2021,0,40146,0.9797240073730882,39332
BROOKLYN,2021,1,9854,2.1001623706109194,20695
BROOKLYN,2022,0,40146,1.2603248144273402,50597
BROOKLYN,2022,1,9854,2.237467018469657,22048
BROOKLYN,2023,0,40146,1.2801524435809295,51393
BROOKLYN,2023,1,9854,2.7145321696772884,26749
BROOKLYN,2024,0,40146,1.3583171424301301,54531
BROOKLYN,2024,1,9854,3.3525471889587983,33036
BROOKLYN,2025,0,40146,1.6658197578837244,66876
BROOKLYN,2025,1,9854,5.570732697381774,54894
MANHATTAN,2019,0,9636,0.6380240763802407,6148
MANHATTAN,2019,1,10597,1.2698877040671888,13457
MANHATTAN,2020,0,9636,0.4167704441677044,4016
MANHATTAN,2020,1,10597,0.9983957723884118,10580
MANHATTAN,2021,0,9636,0.9955375674553757,9593
MANHATTAN,2021,1,10597,1.8159856563178258,19244
MANHATTAN,2022,0,9636,1.103777501037775,10636
MANHATTAN,2022,1,10597,2.0874775879966028,22121
MANHATTAN,2023,0,9636,1.1687422166874222,11262
MANHATTAN,2023,1,10597,2.5581768425025952,27109
MANHATTAN,2024,0,9636,1.400373599003736,13494
MANHATTAN,2024,1,10597,3.3186750967254883,35168
MANHATTAN,2025,0,9636,1.9334786218347861,18631
MANHATTAN,2025,1,10597,5.044163442483722,53453
QUEENS,2019,0,35013,0.40570645188929827,14205
QUEENS,2019,1,5775,0.905974025974026,5232
QUEENS,2020,0,35013,0.20101105303744324,7038
QUEENS,2020,1,5775,0.8351515151515152,4823
QUEENS,2021,0,35013,0.6405906377631165,22429
QUEENS,2021,1,5775,1.547012987012987,8934
QUEENS,2022,0,35013,0.9408791020478108,32943
QUEENS,2022,1,5775,1.6322077922077922,9426
QUEENS,2023,0,35013,0.8424299545882957,29496
QUEENS,2023,1,5775,2.2742857142857145,13134
QUEENS,2024,0,35013,1.0618912975180648,37180
QUEENS,2024,1,5775,4.1958441558441555,24231
QUEENS,2025,0,35013,1.1804758232656443,41332
QUEENS,2025,1,5775,5.239480519480519,30258
STATEN ISLAND,2019,0,5492,0.5276766205389658,2898
STATEN ISLAND,2019,1,173,1.1734104046242775,203
STATEN ISLAND,2020,0,5492,0.21249089584850692,1167
STATEN ISLAND,2020,1,173,0.9248554913294798,160
STATEN ISLAND,2021,0,5492,0.5369628550619082,2949
STATEN ISLAND,2021,1,173,1.0057803468208093,174
STATEN ISLAND,2022,0,5492,0.8494173343044428,4665
STATEN ISLAND,2022,1,173,2.092485549132948,362
STATEN ISLAND,2023,0,5492,0.7521849963583394,4131
STATEN ISLAND,2023,1,173,2.167630057803468,375
STATEN ISLAND,2024,0,5492,1.172978878368536,6442
STATEN ISLAND,2024,1,173,4.184971098265896,724
STATEN ISLAND,2025,0,5492,1.7871449380917699,9815
STATEN ISLAND,2025,1,173,9.820809248554914,1699
