registration_count_bin,inspection_year,mean_treated,n_treated,total_treated,mean_control,n_control,total_control,diff,ratio
1,2019,1.2873400630103518,31106,40044,0.7255116758868745,54771.0,39737.0,0.5618283871234773,1.7743891735948856
1,2020,1.1757860219893268,31106,36574,0.44393931094922495,54771.0,24315.0,0.7318467110401019,2.648528735775341
1,2021,2.154857583745901,31106,67029,1.1599569115042632,54771.0,63532.0,0.994900672241638,1.8577048529771887
1,2022,2.3767118883816627,31106,73930,1.4872834164064925,54771.0,81460.0,0.8894284719751702,1.5980221806844102
1,2023,3.013373625667074,31106,93734,1.5184860601413157,54771.0,83169.0,1.494887565525758,1.9844591957509563
1,2024,4.394618401594547,31106,136699,1.8375600226397182,54771.0,100645.0,2.557058378954829,2.391550941166823
1,2025,6.956857197968238,31106,216400,2.3387559109747857,54771.0,128096.0,4.618101286993452,2.9745973768885707
2,2019,1.4646559849198868,1061,1554,1.150571131879543,963.0,1108.0,0.3140848530403437,1.2729816908644864
2,2020,1.533459000942507,1061,1627,1.0467289719626167,963.0,1008.0,0.4867300289798904,1.4650010098290025
2,2021,2.4571159283694626,1061,2607,2.245067497403946,963.0,2162.0,0.2120484309655164,1.0944508043569807
2,2022,3.236569274269557,1061,3434,2.608515057113188,963.0,2512.0,0.628054217156369,1.240770784682159
2,2023,4.295947219604147,1061,4558,2.5856697819314642,963.0,2490.0,1.710277437672683,1.661444647581845
2,2024,6.298774740810556,1061,6683,3.469366562824507,963.0,3341.0,2.829408177986049,1.8155402799762241
2,2025,9.447690857681433,1061,10024,4.710280373831775,963.0,4536.0,4.737410483849658,2.0057597654204633
3_plus,2019,3.407849829351536,586,1997,3.8027923211169283,573.0,2179.0,-0.3949424917653923,0.8961440808712392
3_plus,2020,3.2252559726962455,586,1890,2.5305410122164047,573.0,1450.0,0.6947149604798408,1.2745321878309992
3_plus,2021,6.448805460750854,586,3779,6.317626527050611,573.0,3620.0,0.1311789337002427,1.0207639582901213
3_plus,2022,7.337883959044369,586,4300,7.544502617801047,573.0,4323.0,-0.2066186587566783,0.9726133491863113
3_plus,2023,9.303754266211604,586,5452,6.4258289703315885,573.0,3682.0,2.877925295880015,1.4478683309449345
3_plus,2024,15.331058020477816,586,8984,9.349040139616056,573.0,5357.0,5.9820178808617595,1.6398536953021818
3_plus,2025,20.25938566552901,586,11872,14.799301919720769,573.0,8480.0,5.460083745808241,1.3689419795221842
missing,2019,0.55,40,22,,,,,
missing,2020,0.4,40,16,,,,,
missing,2021,1.45,40,58,,,,,
missing,2022,1.45,40,58,,,,,
missing,2023,2.35,40,94,,,,,
missing,2024,3.6,40,144,,,,,
missing,2025,2.675,40,107,,,,,
