registration_end_bin,inspection_year,mean_treated,n_treated,total_treated,mean_control,n_control,total_control,diff,ratio
2025,2019,1.47136563876652,1589,2338,0.46258409995880817,7283.0,3369.0,1.0087815388077117,3.180752729930711
2025,2020,1.26117054751416,1589,2004,0.3876149938212275,7283.0,2823.0,0.8735555536929325,3.2536681181528966
2025,2021,1.9502831969792322,1589,3099,0.9393107236029109,7283.0,6841.0,1.0109724733763215,2.0762918467475147
2025,2022,2.0723725613593453,1589,3293,0.9689688315254703,7283.0,7057.0,1.103403729833875,2.1387401678305387
2025,2023,2.688483322844556,1589,4272,1.1544693120966634,7283.0,8408.0,1.5340140107478928,2.328761184619042
2025,2024,4.071113908118313,1589,6469,1.5080324042290265,7283.0,10983.0,2.563081503889287,2.6996196478945347
2025,2025,6.287602265575834,1589,9991,2.7605382397363725,7283.0,20105.0,3.5270640258394614,2.277672583943735
2026_plus,2019,1.3242323075397482,30253,40062,0.6505715958463008,32453.0,21113.0,0.6736607116934474,2.0354905071087694
2026_plus,2020,1.2282087726837008,30253,37157,0.4946538070440329,32453.0,16053.0,0.7335549656396678,2.482966380109895
2026_plus,2021,2.2500578455029254,30253,68071,0.9518072289156626,32453.0,30889.0,1.298250616587263,2.363984825022061
2026_plus,2022,2.499124053812845,30253,75606,1.0710257911441161,32453.0,34758.0,1.4280982626687289,2.333392971931304
2026_plus,2023,3.1861964102733613,30253,96392,1.2678026684744093,32453.0,41144.0,1.918393741798952,2.5131643034853535
2026_plus,2024,4.692427197302747,30253,141960,1.6787045881736666,32453.0,54479.0,3.01372260912908,2.7952667970055622
2026_plus,2025,7.402208045483093,30253,223939,2.2753520475764955,32453.0,73842.0,5.126855997906597,3.2532143996649983
missing,2019,0.55,40,22,,,,,
missing,2020,0.4,40,16,,,,,
missing,2021,1.45,40,58,,,,,
missing,2022,1.45,40,58,,,,,
missing,2023,2.35,40,94,,,,,
missing,2024,3.6,40,144,,,,,
missing,2025,2.675,40,107,,,,,
through_2024_or_missing,2019,1.3117453347969266,911,1195,1.118942731277533,16571.0,18542.0,0.1928026035193935,1.1723078385783556
through_2024_or_missing,2020,1.0208562019758507,911,930,0.47655542815762475,16571.0,7897.0,0.544300773818226,2.142156277439765
through_2024_or_missing,2021,2.464324917672887,911,2245,1.9059803270774245,16571.0,31584.0,0.5583445905954625,1.2929435223770709
through_2024_or_missing,2022,3.035126234906696,911,2765,2.804900126727415,16571.0,46480.0,0.2302261081792807,1.0820799664078928
through_2024_or_missing,2023,3.380900109769484,911,3080,2.401122442821797,16571.0,39789.0,0.9797776669476872,1.4080498559649683
through_2024_or_missing,2024,4.321624588364434,911,3937,2.6480598636171626,16571.0,43881.0,1.6735647247472718,1.6319965601008875
through_2024_or_missing,2025,4.792535675082327,911,4366,2.846237402691449,16571.0,47165.0,1.946298272390878,1.6838144529161292
