registration_recency_bin,inspection_year,mean_treated,n_treated,total_treated,mean_control,n_control,total_control,diff,ratio
2022_2023,2019,0.6818181818181818,396,270,0.8181383106006221,4179,3419,-0.13632012878244038,0.8333776489670025
2022_2023,2020,1.02020202020202,396,404,0.42952859535774107,4179,1795,0.5906734248442791,2.3751667088714443
2022_2023,2021,2.5707070707070705,396,1018,1.3297439578846615,4179,5557,1.240963112822409,1.9332346317230245
2022_2023,2022,2.5883838383838382,396,1025,1.882986360373295,4179,7869,0.7053974780105432,1.3746163503121185
2022_2023,2023,3.787878787878788,396,1500,2.4029672170375687,4179,10042,1.3849115708412194,1.5763339428943892
2022_2023,2024,5.143939393939394,396,2037,2.9521416606843744,4179,12337,2.191797733255019,1.7424432785339
2022_2023,2025,6.401515151515151,396,2535,3.3163436228762864,4179,13859,3.085171528638865,1.9302930816207386
2024,2019,1.4303363074811255,1457,2084,0.47935948288526514,6807,3263,0.9509768245958603,2.9838489871357714
2024,2020,1.1914893617021276,1457,1736,0.3613926840017629,6807,2460,0.8300966777003647,3.2969382459782044
2024,2021,1.936856554564173,1457,2822,0.8572058175407669,6807,5835,1.079650737023406,2.259500011468436
2024,2022,2.161290322580645,1457,3149,0.9021595416483033,6807,6141,1.2591307809323418,2.3956852671888047
2024,2023,2.620452985586822,1457,3818,1.120317320405465,6807,7626,1.500135665181357,2.3390274682519667
2024,2024,3.8277282086479065,1457,5577,1.631996474217717,6807,11109,2.1957317344301894,2.345426763549041
2024,2025,5.615648592999314,1457,8182,2.677537828705744,6807,18226,2.9381107642935698,2.097318115469457
2025_plus,2019,1.3275901677004365,30471,40453,0.649702380952381,33600,21830,0.6778877867480555,2.0433820263277447
2025_plus,2020,1.2312034393357618,30471,37516,0.49913690476190475,33600,16771,0.7320665345738571,2.466664811977914
2025_plus,2021,2.248761117127761,30471,68522,0.9700892857142858,33600,32595,1.278671831413475,2.3180970558519025
2025_plus,2022,2.49236979423058,30471,75945,1.0815178571428572,33600,36339,1.4108519370877228,2.3045109960688923
2025_plus,2023,3.1890978307242954,30471,97175,1.2767261904761904,33600,42898,1.912371640248105,2.4978713952244007
2025_plus,2024,4.699386301729513,30471,143195,1.6830654761904762,33600,56551,3.0163208255390366,2.792158931550488
2025_plus,2025,7.416756916412327,30471,225996,2.3077083333333333,33600,77539,5.109048583078994,3.2139056783225755
missing,2019,1.1794871794871795,78,92,0.6714905933429812,691,464,0.5079965861441983,1.756520778072502
missing,2020,1.3205128205128205,78,103,0.5050651230101303,691,349,0.8154476975026902,2.614539710528249
missing,2021,2.7435897435897436,78,214,1.4124457308248914,691,976,1.3311440127648522,1.9424390500210174
missing,2022,1.8205128205128205,78,142,1.995658465991317,691,1379,-0.17514564547849654,0.912236663505699
missing,2023,2.0641025641025643,78,161,2.0680173661360346,691,1429,-0.003914802033470277,0.9981069781629616
missing,2024,3.858974358974359,78,301,2.565846599131693,691,1773,1.2931277598426658,1.5039770344338872
missing,2025,5.628205128205129,78,439,3.296671490593343,691,2278,2.3315336376117854,1.7072386934107742
pre_2022,2019,1.8363171355498722,391,718,1.2736174070716229,11030,14048,0.5626997284782493,1.4418122156260742
pre_2022,2020,0.8900255754475703,391,348,0.48939256572982776,11030,5398,0.40063300971774257,1.8186332154847538
pre_2022,2021,2.2941176470588234,391,897,2.2077062556663645,11030,24351,0.0864113913924589,1.0391408010783467
pre_2022,2022,3.7365728900255752,391,1461,3.315231187669991,11030,36567,0.4213417023555843,1.1270927059092104
pre_2022,2023,3.028132992327366,391,1184,2.4792384406165007,11030,27346,0.5488945517108652,1.2213964347755006
pre_2022,2024,3.580562659846547,391,1400,2.499818676337262,11030,27573,1.0807439835092851,1.432328949991202
pre_2022,2025,3.1994884910485935,391,1251,2.6482320942883044,11030,29210,0.551256396760289,1.2081601525596024
