term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m8,-8.864666074833814,5.432495397478077,-1.6317852894912805,0.10272472532321804,permutation,0.8688524590163934,-48.58243677987767,54.88452436604998,60,-8,-19.512357053890845,1.7830249042232182
evt_m7,5.832394037742745,5.780633545881173,1.0089541209368742,0.31299663765606944,permutation,0.5737704918032787,-26.860933185565706,16.82723128210993,60,-7,-5.497647712184355,17.162435787669843
evt_m6,4.526677392575522,5.5685823231608,0.8128958377338168,0.4162777811194851,permutation,0.6229508196721312,-21.83624584696512,13.639388642527154,60,-6,-6.387743960819645,15.441098745970688
evt_m5,5.583282868457901,4.922428895931062,1.1342536350445018,0.2566881716626882,permutation,0.5081967213114754,-19.351258151324995,11.926134389548182,60,-5,-4.064677767566979,15.23124350448278
evt_m4,3.680580680736213,4.182680740712769,0.8799573548396158,0.3788824120619463,permutation,0.5409836065573771,-12.988222134417688,7.372202009966228,60,-4,-4.517473571060814,11.87863493253324
evt_m3,2.9933811967083948,4.967895461176288,0.6025451260199481,0.5468113345663763,permutation,0.5081967213114754,-10.265242176150991,5.5914294617023845,60,-3,-6.7436939071971285,12.730456300613918
evt_m2,2.0419126179087783,5.024167306217076,0.4064181173628605,0.6844354099654097,permutation,0.3770491803278688,-6.176757602966421,3.1405767372723927,60,-2,-7.805455302276691,11.889280538094248
evt_p0,-1.6070709714959897,5.853692391601694,-0.27453970314560056,0.7836698965463044,permutation,0.5409836065573771,-2.5112478184992817,4.779490983130515,60,0,-13.080308059035309,9.86616611604333
evt_p1,-1.5189223385696984,6.600629256998679,-0.23011780838306858,0.8180002271075977,permutation,0.8524590163934426,-4.8876352530529275,7.72272491274025,60,1,-14.45615568228711,11.418311005147713
evt_p2,-1.6021229806782884,7.704131505543558,-0.2079563386898926,0.8352630586986947,permutation,0.8032786885245902,-10.260212523899074,16.388598110715186,60,2,-16.70222073154366,13.497974770187087
evt_p3,-2.9646268125320816,9.432587830643532,-0.3142962319312771,0.75329605981949,permutation,0.8032786885245902,-15.079789912168021,27.424638048495403,60,3,-21.452498960593406,15.523245335529243
evt_p4,-6.087591043505377,10.415349342545891,-0.5844826556741637,0.558895631030894,permutation,0.7540983606557377,-18.63734890753369,36.08731469846892,60,4,-26.501675754895324,14.32649366788457
evt_p5,-6.1724938362029675,15.785543653605377,-0.39102193574392263,0.6957810217568774,permutation,0.819672131147541,-28.078386998640575,49.91519429222207,60,5,-37.11215939726951,24.76717172486357
evt_p6,-7.275514829197334,19.85126369869623,-0.36650134417765895,0.7139910097755331,permutation,0.8524590163934426,-37.32292198579839,59.16910220629615,60,6,-46.183991678641945,31.632962020247277
evt_p7,-7.684805005487162,22.648304887909116,-0.33931038298542704,0.7343759216423034,permutation,0.8688524590163934,-45.513390765738436,67.63876050360557,60,7,-52.07548258578903,36.705872574814705
evt_p8,-26.669271388122567,8.121690014131156,-3.283709590210899,0.0010245043395927212,permutation,0.6721311475409836,-59.14090904620178,79.10497271809263,60,8,-42.587783815819634,-10.750758960425502
