term,coef,std_err,p_value,base_term,state_abbr,event_time,ci_low,ci_high
evt_m4_CA,-78.18939393939388,9.9963143862178,5.206410580993824e-15,evt_m4,CA,-4,-97.78217013638077,-58.59661774240699
evt_m3_CA,-36.6818181818181,4.337174881037868,2.7308328904709936e-17,evt_m3,CA,-3,-45.18268094865232,-28.18095541498388
evt_m2_CA,-19.840909090908326,3.669284645603783,6.398326563679566e-08,evt_m2,CA,-2,-27.03270699629174,-12.649111185524912
evt_p0_CA,79.00000000000014,4.124373209919413,8.890063825527194e-82,evt_p0,CA,0,70.91622850855809,87.08377149144219
evt_p1_CA,132.2499999999993,4.355030556903204,1.4905136725689686e-202,evt_p1,CA,1,123.71414010846901,140.78585989152958
evt_p2_CA,43.86363636363694,4.978618758158581,1.2469703555391252e-18,evt_p2,CA,2,34.105543597646125,53.62172912962776
evt_p3_CA,55.40909090909153,5.9537030964352375,1.3191525751473253e-20,evt_p3,CA,3,43.73983284007846,67.0783489781046
evt_p4_CA,84.40909090909085,6.119562470791427,2.795858467656543e-43,evt_p4,CA,4,72.41474846633966,96.40343335184204
evt_m4_OR,-17.674873737372685,5.4821757309916626,0.0012638609049975792,evt_m4,OR,-4,-28.419938170116346,-6.929809304629027
evt_m3_OR,-6.445707070707364,5.904489824811224,0.27498170107171227,evt_m3,OR,-3,-18.01850712733736,5.1270929859226335
evt_m2_OR,-3.340909090909122,4.995434318364822,0.5036278408529128,evt_m2,OR,-2,-13.131960354904173,6.450142173085929
evt_p0_OR,2.3409090909090935,3.6692846456037818,0.5234904474698386,evt_p0,OR,0,-4.8508888144743185,9.532706996292506
evt_p1_OR,20.34090909090844,4.811832546451727,2.36545134698129e-05,evt_p1,OR,1,10.909717299863054,29.772100881953826
evt_p2_OR,31.340909090908553,5.0109449440152245,3.988149504526362e-10,evt_p2,OR,2,21.519457000638713,41.1623611811784
evt_p3_OR,12.20454545454556,5.561467685735446,0.02820071557757074,evt_p3,OR,3,1.3040687905040862,23.105022118587033
evt_p4_OR,1.5000000000006821,5.292012478547189,0.7768349371655819,evt_p4,OR,4,-8.872344457951808,11.872344457953172
