submission_year,supervisor_district,unit_rows,unique_blocks,median_rent_midpoint,mean_rent_midpoint,occupied_nonowner,occupied_owner,nonowner_share
2022,1.0,2726,140,2125.5,2061.102254098361,2525,40,0.9262655906089509
2022,2.0,11690,243,2375.5,2541.686962538302,10630,152,0.9093242087254063
2022,3.0,18594,199,1625.5,1755.561554054054,15684,337,0.8434979025492094
2022,4.0,765,51,2125.5,2088.9174147217236,692,17,0.9045751633986928
2022,5.0,11075,171,1625.5,1840.7003203416978,9833,102,0.8878555304740406
2022,6.0,8322,59,2875.5,2950.160420870568,7710,31,0.9264599855803893
2022,7.0,3701,88,2125.5,2130.597280334728,3262,28,0.8813834098892191
2022,8.0,4922,153,2125.5,2276.4293532338306,4394,77,0.892726533929297
2022,9.0,2565,76,1875.5,1933.3999549346552,2310,38,0.9005847953216374
2022,10.0,2020,33,2375.5,2066.7299522039298,1876,17,0.9287128712871288
2022,11.0,364,28,2125.5,2267.244548286604,323,14,0.8873626373626373
2023,1.0,8167,356,2125.5,2341.700929235168,6994,741,0.8563732092567651
2023,2.0,15617,374,2625.5,2867.860699381206,13874,690,0.8883908561183326
2023,3.0,23276,245,1875.5,2067.6651514402884,20168,703,0.8664719023887266
2023,4.0,3269,433,2375.5,2555.418215613383,2688,439,0.8222698072805139
2023,5.0,15689,223,2125.5,2239.5397799858056,14075,355,0.8971253744661865
2023,6.0,10340,109,2875.5,2798.2662490630687,9323,379,0.9016441005802708
2023,7.0,7230,505,2625.5,2651.2266303422443,5872,530,0.8121715076071923
2023,8.0,12058,443,2625.5,2707.6215120208553,10339,1050,0.8574390446176812
2023,9.0,7574,401,2125.5,2279.9260204081634,6467,538,0.8538420913651967
2023,10.0,2909,323,3125.5,3134.935960591133,2432,340,0.8360261258164318
2023,11.0,1753,381,2375.5,2500.21348733234,1342,281,0.7655447803764974
2023,,4,3,2625.5,2458.8333333333335,3,1,0.75
2024,1.0,7904,352,2375.5,2381.6087533156497,6758,788,0.8550101214574899
2024,2.0,15689,369,2625.5,2879.525012452857,14015,738,0.8933010389444834
2024,3.0,24611,245,1875.5,2112.138226055975,21102,696,0.8574214782008045
2024,4.0,3359,445,2375.5,2528.2875302663438,2498,724,0.743673712414409
2024,5.0,16281,228,2125.5,2214.449761255116,14540,364,0.8930655365149561
2024,6.0,11587,107,2875.5,2773.6566769721753,10246,445,0.8842668507810477
2024,7.0,8048,503,2625.5,2610.439011406844,6560,673,0.8151093439363817
2024,8.0,11521,440,2625.5,2719.559400406504,9880,980,0.8575644475305964
2024,9.0,7122,384,2125.5,2258.5694606779093,5997,597,0.8420387531592249
2024,10.0,3288,342,3125.5,3117.18220653789,2685,449,0.8166058394160584
2024,11.0,2099,420,2125.5,2343.271534320323,1485,480,0.7074797522629823
2024,,3,3,3000.5,3000.5,2,1,0.6666666666666666
2025,1.0,9120,357,2375.5,2442.687013313238,7944,841,0.8710526315789474
2025,2.0,18871,368,2875.5,2988.5380422242733,17360,769,0.9199300514016215
2025,3.0,28782,255,1875.5,2193.1040086038324,25385,818,0.8819748453894796
2025,4.0,3697,446,2375.5,2636.2207612456746,2887,713,0.7809034352177441
2025,5.0,17836,224,2125.5,2267.8026501441627,16219,405,0.9093406593406593
2025,6.0,12935,112,2875.5,2992.974835061263,11591,488,0.8960958639350599
2025,7.0,11698,522,2625.5,2665.437040151356,9493,724,0.8115062403829715
2025,8.0,12970,448,2625.5,2775.1092059336825,11441,1042,0.8821125674633771
2025,9.0,9776,402,2375.5,2385.354446651864,8587,665,0.8783756137479541
2025,10.0,3957,341,3125.5,3187.367690490254,3378,420,0.8536770280515542
2025,11.0,2443,407,2375.5,2427.8928194297782,1892,464,0.7744576340564879
2025,,3,3,3000.5,3000.5,2,0,0.6666666666666666
2026,1.0,8873,352,2375.5,2528.4926302414233,7855,729,0.8852699199819678
2026,2.0,16963,367,2875.5,3137.0971744940816,15751,671,0.9285503743441608
2026,3.0,23995,251,2125.5,2320.4013160901154,21756,676,0.9066888935194832
2026,4.0,3538,439,2625.5,2734.0471633629527,2925,519,0.8267382702091577
2026,5.0,17253,221,2125.5,2357.7086138551563,15812,337,0.9164782936300934
2026,6.0,12877,109,3125.5,3186.1692885859115,11875,363,0.9221868447619788
2026,7.0,7394,512,2875.5,2818.267944470737,6333,550,0.8565052745469299
2026,8.0,12002,438,2625.5,2852.6020436993786,10625,934,0.8852691218130312
2026,9.0,7042,379,2125.5,2308.6186662307946,6128,535,0.8702073274637887
2026,10.0,3243,328,3125.5,3262.910360678925,2824,341,0.8707986432315757
2026,11.0,1791,392,2375.5,2507.921797593772,1412,323,0.7883863763260748
2026,,4,3,2625.5,2792.1666666666665,3,0,0.75
